Date,Open,High,Low,Close,Volume,Ticker
2024-12-16,6063.79,6085.19,6059.14,6074.08,4391100000,^GSPC
2024-12-17,6052.55,6057.68,6035.19,6050.61,4544500000,^GSPC
2024-12-18,6047.65,6070.67,5867.79,5872.16,5246960000,^GSPC
2024-12-19,5912.71,5935.52,5866.07,5867.08,4896880000,^GSPC
2024-12-20,5842.00,5982.06,5832.30,5930.85,8223220000,^GSPC
2024-12-23,5940.25,5978.25,5902.57,5974.07,3593280000,^GSPC
2024-12-24,5984.63,6040.10,5981.44,6040.04,1757720000,^GSPC
2024-12-26,6024.97,6049.75,6007.37,6037.59,2904530000,^GSPC
2024-12-27,6006.17,6006.17,5932.95,5970.84,3159610000,^GSPC
2024-12-30,5920.67,5940.79,5869.16,5906.94,3433250000,^GSPC
2024-12-31,5919.74,5929.74,5868.86,5881.63,3128350000,^GSPC
2025-01-02,5903.26,5935.09,5829.53,5868.55,3621680000,^GSPC
2025-01-03,5891.07,5949.34,5888.66,5942.47,3667340000,^GSPC
2025-01-06,5982.81,6021.04,5960.01,5975.38,4940120000,^GSPC
2025-01-07,5993.26,6000.68,5890.68,5909.03,4517330000,^GSPC
2025-01-08,5910.66,5927.89,5874.78,5918.25,4441740000,^GSPC
2025-01-10,5890.35,5890.35,5807.78,5827.04,4751930000,^GSPC
2025-01-13,5782.02,5838.61,5773.31,5836.22,4421200000,^GSPC
2025-01-14,5859.27,5871.92,5805.42,5842.91,4142280000,^GSPC
2025-01-15,5905.21,5960.61,5905.21,5949.91,4544570000,^GSPC
2025-01-16,5963.61,5964.69,5930.72,5937.34,4285810000,^GSPC
2025-01-17,5995.40,6014.96,5978.44,5996.66,4366830000,^GSPC
2025-01-21,6014.12,6051.51,6006.88,6049.24,4702920000,^GSPC
2025-01-22,6081.39,6100.81,6076.13,6086.37,4323040000,^GSPC
2025-01-23,6076.32,6118.73,6074.67,6118.71,4432250000,^GSPC
2025-01-24,6121.43,6128.18,6088.74,6101.24,4214250000,^GSPC
2025-01-27,5969.04,6017.17,5962.92,6012.28,5198750000,^GSPC
2025-01-28,6026.97,6074.54,5994.63,6067.70,4473640000,^GSPC
2025-01-29,6057.70,6062.83,6012.96,6039.31,4115310000,^GSPC
2025-01-30,6050.75,6086.64,6027.46,6071.17,4634620000,^GSPC
2025-01-31,6096.79,6120.91,6030.93,6040.53,4843770000,^GSPC
2025-02-03,5969.65,6022.13,5923.93,5994.57,4797210000,^GSPC
2025-02-04,5998.14,6042.48,5990.87,6037.88,4410160000,^GSPC
2025-02-05,6020.45,6062.86,6007.06,6061.48,4756250000,^GSPC
2025-02-06,6072.22,6084.03,6046.83,6083.57,4847120000,^GSPC
2025-02-07,6083.13,6101.28,6019.96,6025.99,4766900000,^GSPC
2025-02-10,6046.40,6073.38,6044.84,6066.44,4458760000,^GSPC
2025-02-11,6049.32,6076.28,6042.34,6068.50,4324880000,^GSPC
2025-02-12,6025.08,6063.00,6003.00,6051.97,4627960000,^GSPC
2025-02-13,6060.59,6116.91,6050.95,6115.07,4763800000,^GSPC
2025-02-14,6115.52,6127.47,6107.62,6114.63,4335190000,^GSPC
2025-02-18,6121.60,6129.63,6099.51,6129.58,4684980000,^GSPC
2025-02-19,6117.76,6147.43,6111.15,6144.15,4562330000,^GSPC
2025-02-20,6134.50,6134.50,6084.59,6117.52,4813690000,^GSPC
2025-02-21,6114.10,6114.82,6008.56,6013.13,5434560000,^GSPC
2025-02-24,6026.69,6043.65,5977.83,5983.25,4990120000,^GSPC
2025-02-25,5982.73,5992.65,5908.49,5955.25,5374690000,^GSPC
2025-02-26,5970.87,6009.82,5932.69,5956.06,4869580000,^GSPC
2025-02-27,5981.88,5993.69,5858.78,5861.57,5057680000,^GSPC
2025-02-28,5856.74,5959.40,5837.66,5954.50,6441140000,^GSPC
2025-03-03,5968.33,5986.09,5810.91,5849.72,5613850000,^GSPC
2025-03-04,5811.98,5865.08,5732.59,5778.15,6138110000,^GSPC
2025-03-05,5781.36,5860.59,5742.35,5842.63,5285970000,^GSPC
2025-03-06,5785.87,5812.08,5711.64,5738.52,5165080000,^GSPC
2025-03-07,5726.01,5783.01,5666.29,5770.20,5705140000,^GSPC
2025-03-10,5705.37,5705.37,5564.02,5614.56,6409370000,^GSPC
2025-03-11,5603.65,5636.30,5528.41,5572.07,6221240000,^GSPC
2025-03-12,5624.84,5642.19,5546.09,5599.30,5219830000,^GSPC
2025-03-13,5594.45,5597.78,5504.65,5521.52,5018980000,^GSPC
2025-03-14,5563.85,5645.27,5563.85,5638.94,4863180000,^GSPC
2025-03-17,5635.60,5703.52,5631.12,5675.12,5031770000,^GSPC
2025-03-18,5654.53,5654.53,5597.76,5614.66,4666270000,^GSPC
2025-03-19,5632.37,5715.33,5622.20,5675.29,4660090000,^GSPC
2025-03-20,5646.92,5711.15,5632.33,5662.89,4678420000,^GSPC
2025-03-21,5630.73,5670.84,5603.10,5667.56,9367460000,^GSPC
2025-03-24,5718.08,5775.14,5718.08,5767.57,4517990000,^GSPC
2025-03-25,5775.96,5786.95,5760.42,5776.65,4467340000,^GSPC
